Job title,Company,Location,Description,Posted on,Job link
"DevOps Engineer-FULLY REMOTE-US, CANADA, EUROPE based only","ActivePrime, Inc.","REMOTE, REMOTE","THIS IS A FULLY REMOTE ROLE - YOU MUST BE LOCATED EITHER IN THE US, CANADA or WESTERN EUROPE We're seeking a versatile DevOps Engineer to help scale o.....",26 March 2026,https://www.python.org/jobs/8061/
Python Developer,Open Data Services,"Remote, United Kingdom","Salary: £47,922 + profit share per year (full-time equivalent, pro-rated for part-time working) Working pattern: Full-time as 37.5 hours per week or P.....",26 March 2026,https://www.python.org/jobs/8060/
Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE,"ActivePrime, Inc.","REMOTE, REMOTE","This is a FULLY REMOTE-WORLDWIDE position As a senior software engineer, you'll join a team tackling genuinely hard problems: distributed data process.....",26 March 2026,https://www.python.org/jobs/8059/
Senior Python Developer - full stack,Trusted Carrier Logistik GmbH,"Remote (EU), Overijsel, Remote (EU)","Salary: EUR 70k annual base salary, with VSOP available for discussion Working Hours: Daytime working hours aligned with Central European Time (CET) W.....",17 March 2026,https://www.python.org/jobs/8057/
Senior Research Software Engineer (Multiphoton Microscopy),Sainsbury Wellcome Centre,"London, United Kingdom","We are inviting applications for a research software engineer to be based in the Neuroinformatics Unit, working with the laboratories of Tom Mrsic-Flo.....",17 March 2026,https://www.python.org/jobs/8056/
Senior Research Software Engineer (Neural and Behavioural Data),Sainsbury Wellcome Centre,"London, United Kingdom",The SWC is pioneering open-source approaches (such as Aeon) to study behaviour and brain function over long time scales (days to weeks). Processing an.....,17 March 2026,https://www.python.org/jobs/8055/
Python Software Engineer,HypothesisBase,"Remote, Remote, USA",HypothesisBase is seeking a curious & motivated python developer. The candidate will: Assist in the development & deployment of software applications .....,17 March 2026,https://www.python.org/jobs/8054/
Python Developer - Remote,DivIHN Integration Inc,"Atlanta, US","Design and develop a real-time visualization and monitoring toolkit for distributed training workflows Maintain and improve the APPFL codebase, addres.....",06 March 2026,https://www.python.org/jobs/8052/
Senior Python Developer,Six Feet Up,"Remote, USA",Six Feet Up is seeking a highly skilled Senior Python Software Developer to join our innovative team. The ideal candidate will have a strong backgroun.....,05 March 2026,https://www.python.org/jobs/8050/
Senior Python Developer/DevOps Engineer,Six Feet Up,"Remote, (USA only)","Six Feet Up is looking for a full-time, USA-based Senior Python Developer/DevOps Engineer to create beautiful back-end code that powers sophisticated .....",05 March 2026,https://www.python.org/jobs/8049/
Python Tech Lead,TramCase,"Remote, Remote",About the Company Our client is an AI-first legal tech startup on a mission to modernize how legal teams work. By building intelligent tools that auto.....,03 March 2026,https://www.python.org/jobs/8047/
Infrastructure Engineer,Python Software Foundation,"Remote, USA","The Python Software Foundation (PSF) is hiring a full-time Infrastructure Engineer, reporting to the PSF's Director of Engineering. The mission of the.....",19 February 2026,https://www.python.org/jobs/8044/
Senior Python Engineer (backend focused),World Parts Direct,"Garland, TX, United States","We are a high-volume automotive parts distribution business in Garland, Texas. This role owns and evolves Python systems that run inventory, internal .....",12 February 2026,https://www.python.org/jobs/8041/
"DevOps Engineer-FULLY REMOTE-US, CANADA, EUROPE only","ActivePrime, Inc.","Mountain View, California, United States","THIS IS A FULLY REMOTE ROLE - YOU MUST BE LOCATED EITHER IN THE US, CANADA or WESTERN EUROPE We're seeking a versatile DevOps Engineer to help scale o.....",09 February 2026,https://www.python.org/jobs/8040/
Senior Full-Stack Engineer (remote),AIDAR,"Hamburg, Germany","We’re looking for a Senior Full-Stack Engineer to help us build and scale AIDAR, a live product used by music professionals to discover new artists. Y.....",30 January 2026,https://www.python.org/jobs/8033/
Junior Software Engineer,Mechanize,"San Francisco, CA, USA",Software engineers at Mechanize create RL environments to sell to the leading AI labs. You might be a good fit if you are about to graduate university.....,28 January 2026,https://www.python.org/jobs/8032/
Junior Full Stack Developer,Patrick J. McGovern Foundation,"Remote, Remote, United States","About the Role We're hiring a Junior Full-Stack Developer to help us build technology that matters. At the Patrick J. McGovern Foundation, we believe .....",28 January 2026,https://www.python.org/jobs/8031/
Senior Python Backend Developer,SKYCATCHFIRE,"Canton, OH, USA","Transform spreadsheet-driven complexity into clean, scalable backend systems. This role focuses on designing robust Python backends that turn complex .....",19 January 2026,https://www.python.org/jobs/8030/
Senior Software Engineer,Aquent,"Fully remote, East Coast Preferred, United States",Scout is a SaaS web platform providing a B2B recruitment marketplace for employers and search firms. Our vision is to optimize candidate-to-job matchi.....,15 January 2026,https://www.python.org/jobs/8027/
Senior Data Privacy Software Developer,OpenDP / Harvard University,"Cambridge, Massachusetts, United States",Reporting to the Vicky Joseph Professor of Computer Science and Applied Mathematics at the Harvard John A. Paulson School of Engineering and Applied S.....,09 January 2026,https://www.python.org/jobs/8025/
Senior Backend Python Developer,Kanmalai Technologies,"Bengaluru, Karnataka, India",Job Title: Senior Backend Python Developer Location: Bengaluru (Onsite) Experience: 5–8 Years Notice Period: Immediate / ≤15 days Role Overview We are.....,08 January 2026,https://www.python.org/jobs/8024/
