Rank,Title,Artist,Streams
1,Blinding Lights,The Weeknd,5.343,29 November 2019
2,Shape of You,Ed Sheeran,4.835,6 January 2017
3,Sweater Weather,The Neighbourhood,4.484,3 December 2012
4,Starboy (song),The Weeknd,4.445,21 September 2016
5,As It Was,Harry Styles,4.324,1 April 2022
6,Someone You Loved,Lewis Capaldi,4.270,8 November 2018
7,Sunflower (Post Malone and Swae Lee song),Post Malone,4.176,18 October 2018
8,One Dance,Drake (musician),4.127,5 April 2016
9,Perfect (Ed Sheeran song),Ed Sheeran,3.890,3 March 2017
10,Stay (The Kid Laroi and Justin Bieber song),The Kid Laroi,3.839,27 July 2021
11,Believer (Imagine Dragons song),Imagine Dragons,3.791,1 February 2017
12,Heat Waves,Glass Animals,3.705,29 June 2020
13,Lovely (Billie Eilish and Khalid song),Billie Eilish,3.700,19 April 2018
14,I Wanna Be Yours,Arctic Monkeys,3.689,9 September 2013
15,The Night We Met,Lord Huron,3.666,7 April 2015
16,Yellow (Coldplay song),Coldplay,3.666,26 June 2000
17,Closer (The Chainsmokers song),The Chainsmokers,3.656,29 July 2016
18,Birds of a Feather (Billie Eilish song),Billie Eilish,3.591,17 May 2024
19,Riptide (Vance Joy song),Vance Joy,3.576,21 May 2013
20,Something Just Like This,The Chainsmokers,3.568,22 February 2017
21,Say You Won't Let Go,James Arthur,3.560,9 September 2016
22,Die With A Smile,Lady Gaga,3.549,16 August 2024
23,Another Love (Tom Odell song),Tom Odell,3.492,15 October 2012
24,Dance Monkey,Tones and I,3.414,10 May 2019
25,Take Me To Church,Hozier,3.405,13 September 2013
26,Counting Stars,OneRepublic,3.398,14 June 2013
27,Every Breath You Take,The Police,3.390,20 May 1983
28,Photograph (Ed Sheeran song),Ed Sheeran,3.357,20 June 2014
29,Rockstar (Post Malone song),Post Malone,3.352,15 September 2017
30,Cruel Summer (Taylor Swift song),Taylor Swift,3.294,23 August 2019
31,Señorita (Shawn Mendes song),Shawn Mendes,3.279,21 June 2019
32,Can't Hold Us,Macklemore,3.261,16 August 2011
